,category,word,segmentation,prediction,distance,overlaps,f1v2_tp,f1v2_fp,f1v2_fn,f1v3_tp,f1v3_fp,f1v3_fn,diff
0,__000,Islāmic,islāmic,islamic,1,0,0,1,1,1,0,0,diff_tp
1,__000,Pará,pará,para,1,0,0,1,1,1,0,0,diff_tp
2,__000,Renée,renée,renee,1,0,0,1,1,1,0,0,diff_tp
3,__000,Württemberg,württemberg,wurttemberg,1,0,0,1,1,1,0,0,diff_tp
4,__000,coupé,coupé,coupe,1,0,0,1,1,1,0,0,diff_tp
5,__000,débris,débris,debris,1,0,0,1,1,1,0,0,diff_tp
6,__000,dérive,dérive,derive,1,0,0,1,1,1,0,0,diff_tp
7,__000,exposé,exposé,expose,1,0,0,1,1,1,0,0,diff_tp
8,__000,fiancée,fiancée,fiancee,1,0,0,1,1,1,0,0,diff_tp
9,__000,élite,élite,elite,1,0,0,1,1,1,0,0,diff_tp
10,__001,Altamaha-ha,altamaha @@ha,alta @@mah @@a - ha,4,1,0,5,2,1,3,0,diff_tp
11,__001,Altamaha-ha,altamaha @@ha,alta @@mah @@a - ha,4,1,0,5,2,1,3,0,diff_fp
12,__001,Altamaha-ha,altamaha @@ha,alta @@mah @@a - ha,4,1,0,5,2,1,3,0,diff_fn
13,__001,Beyer-Garratt,beyer @@garratt,bey @@er - ga @@rra @@tt,5,0,0,6,2,1,4,0,diff_tp
14,__001,Beyer-Garratt,beyer @@garratt,bey @@er - ga @@rra @@tt,5,0,0,6,2,1,4,0,diff_fp
15,__001,Beyer-Garratt,beyer @@garratt,bey @@er - ga @@rra @@tt,5,0,0,6,2,1,4,0,diff_fn
16,__001,BigLaw,big @@law,big @@law,0,2,2,0,0,1,0,0,diff_tp
17,__001,Blackwood,black @@wood,black @@wood,0,2,2,0,0,1,0,0,diff_tp
18,__001,Bordertown,border @@town,border @@town,0,2,2,0,0,1,0,0,diff_tp
19,__001,Borrowdale,borrow @@dale,borrow @@dale,0,2,2,0,0,1,0,0,diff_tp
20,__001,Bowenwork,bowen @@work,bowen @@work,0,2,2,0,0,1,0,0,diff_tp
21,__001,Boystown,boys @@town,boys @@town,0,2,2,0,0,1,0,0,diff_tp
22,__001,Bridgewater,bridge @@water,bridge @@water,0,2,2,0,0,1,0,0,diff_tp
23,__001,Burnmouth,burn @@mouth,burn @@mouth,0,2,2,0,0,1,0,0,diff_tp
24,__001,Calvinball,calvin @@ball,calvin @@ball,0,2,2,0,0,1,0,0,diff_tp
25,__001,Ch'eng-te,ch'eng @@te,ch ' eng - te,4,1,0,5,2,1,3,0,diff_tp
26,__001,Ch'eng-te,ch'eng @@te,ch ' eng - te,4,1,0,5,2,1,3,0,diff_fp
27,__001,Ch'eng-te,ch'eng @@te,ch ' eng - te,4,1,0,5,2,1,3,0,diff_fn
28,__001,Ch'i-men,ch'i @@men,ch ' i - men,4,1,0,5,2,1,3,0,diff_tp
29,__001,Ch'i-men,ch'i @@men,ch ' i - men,4,1,0,5,2,1,3,0,diff_fp
30,__001,Ch'i-men,ch'i @@men,ch ' i - men,4,1,0,5,2,1,3,0,diff_fn
31,__001,Charlottetown,charlotte @@town,charlotte @@town,0,2,2,0,0,1,0,0,diff_tp
32,__001,Cheesefare,cheese @@fare,cheese @@fare,0,2,2,0,0,1,0,0,diff_tp
33,__001,Chieh-yang,chieh @@yang,chi @@eh - yang,3,1,0,4,2,1,2,0,diff_tp
34,__001,Chieh-yang,chieh @@yang,chi @@eh - yang,3,1,0,4,2,1,2,0,diff_fp
35,__001,Chieh-yang,chieh @@yang,chi @@eh - yang,3,1,0,4,2,1,2,0,diff_fn
36,__001,Christcross-row,christcross @@row,christ @@cross - row,3,1,0,4,2,1,2,0,diff_tp
37,__001,Christcross-row,christcross @@row,christ @@cross - row,3,1,0,4,2,1,2,0,diff_fp
38,__001,Christcross-row,christcross @@row,christ @@cross - row,3,1,0,4,2,1,2,0,diff_fn
39,__001,Coele-Syria,coele @@syria,coe @@le - syria,3,1,0,4,2,1,2,0,diff_tp
40,__001,Coele-Syria,coele @@syria,coe @@le - syria,3,1,0,4,2,1,2,0,diff_fp
41,__001,Coele-Syria,coele @@syria,coe @@le - syria,3,1,0,4,2,1,2,0,diff_fn
42,__001,Curtisland,curtis @@land,curtis @@land,0,2,2,0,0,1,0,0,diff_tp
43,__001,Cypro-Minoan,cypro @@minoan,cy @@pro - min @@oa @@n,5,0,0,6,2,1,4,0,diff_tp
44,__001,Cypro-Minoan,cypro @@minoan,cy @@pro - min @@oa @@n,5,0,0,6,2,1,4,0,diff_fp
45,__001,Cypro-Minoan,cypro @@minoan,cy @@pro - min @@oa @@n,5,0,0,6,2,1,4,0,diff_fn
46,__001,Deerfield,deer @@field,deer @@field,0,2,2,0,0,1,0,0,diff_tp
47,__001,Duk-Duk,duk @@duk,du @@k - du @@k,4,0,0,5,2,1,3,0,diff_tp
48,__001,Duk-Duk,duk @@duk,du @@k - du @@k,4,0,0,5,2,1,3,0,diff_fp
49,__001,Duk-Duk,duk @@duk,du @@k - du @@k,4,0,0,5,2,1,3,0,diff_fn
50,__001,Duna-gate,duna @@gate,dun @@a - gate,3,1,0,4,2,1,2,0,diff_tp
51,__001,Duna-gate,duna @@gate,dun @@a - gate,3,1,0,4,2,1,2,0,diff_fp
52,__001,Duna-gate,duna @@gate,dun @@a - gate,3,1,0,4,2,1,2,0,diff_fn
53,__001,Firstspace,first @@space,first @@space,0,2,2,0,0,1,0,0,diff_tp
54,__001,Fordtown,ford @@town,ford @@town,0,2,2,0,0,1,0,0,diff_tp
55,__001,Gabi-Gabi,gabi @@gabi,ga @@bi - ga @@bi,4,0,0,5,2,1,3,0,diff_tp
56,__001,Gabi-Gabi,gabi @@gabi,ga @@bi - ga @@bi,4,0,0,5,2,1,3,0,diff_fp
57,__001,Gabi-Gabi,gabi @@gabi,ga @@bi - ga @@bi,4,0,0,5,2,1,3,0,diff_fn
58,__001,Gaia-Sausage,gaia @@sausage,ga @@ia - sausage,3,1,0,4,2,1,2,0,diff_tp
59,__001,Gaia-Sausage,gaia @@sausage,ga @@ia - sausage,3,1,0,4,2,1,2,0,diff_fp
60,__001,Gaia-Sausage,gaia @@sausage,ga @@ia - sausage,3,1,0,4,2,1,2,0,diff_fn
61,__001,Googlephone,google @@phone,google @@phone,0,2,2,0,0,1,0,0,diff_tp
