,category,word,segmentation,prediction,distance,f1v2_tp,f1v2_fp,f1v2_fn,f1v3_tp,f1v3_fp,f1v3_fn,f1v2_score,f1v1_score,abs_diff,diff
0,__001,Duk-Duk,duk|duk,du|k|du|k,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
1,__001,Gabi-Gabi,gabi|gabi,ga|bi|ga|bi,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
2,__001,Wemba-Wemba,wemba|wemba,we|mba|we|mba,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
3,__001,bayag-kambing,bayag|kambing,bay|ag|kam|bing,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
4,__001,biscuitroot,biscuit|root,bis|cuit|ro|ot,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
5,__001,bromoacyl,bromo|acyl,bro|mo|acy|l,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
6,__001,clambake,clam|bake,cl|am|ba|ke,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
7,__001,crampbark,cramp|bark,cr|amp|bar|k,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
8,__001,cuntbreath,cunt|breath,cu|nt|bre|ath,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
9,__001,eka-iodine,eka|iodine,ek|a|io|dine,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
10,__001,eka-polonium,eka|polonium,ek|a|polo|nium,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
11,__001,ethylaniline,ethyl|aniline,et|hyl|ani|line,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
12,__001,fallowchat,fallow|chat,fall|ow|cha|t,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
13,__001,fallowfinch,fallow|finch,fall|ow|fin|ch,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
14,__001,flim-flam,flim|flam,fl|im|fl|am,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
15,__001,fopdoodle,fop|doodle,f|op|do|odle,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
16,__001,giga-joule,giga|joule,gig|a|jo|ule,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
17,__001,giga-ohm,giga|ohm,gig|a|oh|m,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
18,__001,gris-gris,gris|gris,gr|is|gr|is,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
19,__001,grubstake,grub|stake,gr|ub|sta|ke,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
20,__001,hanky-pank,hanky|pank,hank|y|pan|k,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
21,__001,hanky-panky,hanky|panky,hank|y|pan|ky,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
22,__001,hoity-toity,hoity|toity,ho|ity|to|ity,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
23,__001,idempotent,idem|potent,id|em|pot|ent,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
24,__001,iminoether,imino|ether,im|ino|eth|er,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
25,__001,indeedy-doody,indeedy|doody,indeed|y|doo|dy,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
26,__001,jig-jig,jig|jig,ji|g|ji|g,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
27,__001,kilo-joule,kilo|joule,ki|lo|jo|ule,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
28,__001,kuli-kuli,kuli|kuli,ku|li|ku|li,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
29,__001,larderhoard,larder|hoard,la|rder|ho|ard,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
30,__001,mee-maw,mee|maw,me|e|ma|w,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
31,__001,mwah-mwah,mwah|mwah,mw|ah|mw|ah,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
32,__001,nulla-nulla,nulla|nulla,null|a|null|a,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
33,__001,peltmonger,pelt|monger,pe|lt|mon|ger,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
34,__001,poo-poo,poo|poo,po|o|po|o,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
35,__001,rah-rah,rah|rah,ra|h|ra|h,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
36,__001,rumourmonger,rumour|monger,rum|our|mon|ger,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
37,__001,scamcoin,scam|coin,sc|am|co|in,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
38,__001,scatterplot,scatter|plot,sc|atter|pl|ot,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
39,__001,smutfic,smut|fic,sm|ut|fi|c,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
40,__001,spurgewort,spurge|wort,spur|ge|wo|rt,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
41,__001,swillbelly,swill|belly,sw|ill|bell|y,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
42,__001,swinepox,swine|pox,sw|ine|po|x,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
43,__001,tera-joule,tera|joule,ter|a|jo|ule,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
44,__001,tera-ohm,tera|ohm,ter|a|oh|m,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
45,__001,titwank,tit|wank,ti|t|wan|k,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
46,__001,tohu-bohu,tohu|bohu,to|hu|bo|hu,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
47,__001,toku-dawara,toku|dawara,to|ku|da|wara,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
48,__001,ulla-lulla,ulla|lulla,ul|la|lu|lla,2,0,4,2,1,2,0,0.0,0.5,0.5,f1_diff
49,__001,Beyer-Garratt,beyer|garratt,bey|er|ga|rra|tt,3,0,5,2,1,3,0,0.0,0.4,0.4,f1_diff
50,__001,Cypro-Minoan,cypro|minoan,cy|pro|min|oa|n,3,0,5,2,1,3,0,0.0,0.4,0.4,f1_diff
51,__001,Jih-t'u,jih|t'u,ji|h|t|'|u,3,0,5,2,1,3,0,0.0,0.4,0.4,f1_diff
52,__001,Poochie-fication,poochie|fication,po|och|ie|fi|cation,3,0,5,2,1,3,0,0.0,0.4,0.4,f1_diff
53,__001,acylpyridine,acyl|pyridine,ac|yl|py|rid|ine,3,0,5,2,1,3,0,0.0,0.4,0.4,f1_diff
54,__001,cutesy-wootsy,cutesy|wootsy,cute|sy|woo|ts|y,3,0,5,2,1,3,0,0.0,0.4,0.4,f1_diff
55,__001,enbyfriend,enby|friend,en|by|fr|ien|d,3,0,5,2,1,3,0,0.0,0.4,0.4,f1_diff
56,__001,fuddy-duddyism,fuddy|duddyism,fu|ddy|du|ddy|ism,3,0,5,2,1,3,0,0.0,0.4,0.4,f1_diff
57,__001,hereinbefore,herein|before,here|in|be|for|e,3,0,5,2,1,3,0,0.0,0.4,0.4,f1_diff
58,__001,hydroxyphenyl,hydroxy|phenyl,hydro|xy|ph|en|yl,3,0,5,2,1,3,0,0.0,0.4,0.4,f1_diff
59,__001,iminostilbene,imino|stilbene,im|ino|sti|lb|ene,3,0,5,2,1,3,0,0.0,0.4,0.4,f1_diff
60,__001,juxta-articular,juxta|articular,ju|xt|a|art|icular,3,0,5,2,1,3,0,0.0,0.4,0.4,f1_diff
61,__001,knuckle-tat,knuckle|tat,kn|uck|le|ta|t,3,0,5,2,1,3,0,0.0,0.4,0.4,f1_diff
62,__001,makuuchi-kaku,makuuchi|kaku,ma|ku|uchi|ka|ku,3,0,5,2,1,3,0,0.0,0.4,0.4,f1_diff
63,__001,mille-feuille,mille|feuille,mill|e|fe|uil|le,3,0,5,2,1,3,0,0.0,0.4,0.4,f1_diff
64,__001,namby-pambical,namby|pambical,nam|by|pam|bic|al,3,0,5,2,1,3,0,0.0,0.4,0.4,f1_diff
65,__001,phenoxyacid,phenoxy|acid,ph|eno|xy|ac|id,3,0,5,2,1,3,0,0.0,0.4,0.4,f1_diff
66,__001,savoir-faire,savoir|faire,sa|vo|ir|fair|e,3,0,5,2,1,3,0,0.0,0.4,0.4,f1_diff
67,__001,ventro-dorsad,ventro|dorsad,vent|ro|do|rsa|d,3,0,5,2,1,3,0,0.0,0.4,0.4,f1_diff
68,__001,whizz-bangery,whizz|bangery,w|hi|zz|bang|ery,3,0,5,2,1,3,0,0.0,0.4,0.4,f1_diff
