,category,word,segmentation,prediction,distance,f1v2_tp,f1v2_fp,f1v2_fn,f1v3_tp,f1v3_fp,f1v3_fn,f1v2_score,f1v1_score,abs_diff,diff
0,__010,Pollyannaishly,pollyanna|ish|ly,polly|anna|ishly,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
1,__010,balsamically,balsam|ic|ally,bal|sam|ically,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
2,__010,butcher's,butch|er|'s,butcher|'|s,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
3,__010,colloidality,colloid|al|ity,col|loid|ality,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
4,__010,cormogenic,corm|o|genic,co|rm|ogenic,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
5,__010,cormosphere,corm|o|sphere,co|rm|osphere,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
6,__010,crystallochemical,crystallo|chemic|al,crystal|lo|chemical,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
7,__010,dauntedly,daunt|ed|ly,da|unt|edly,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
8,__010,dauntlessness,daunt|less|ness,da|unt|lessness,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
9,__010,deceitlessness,deceit|less|ness,dec|eit|lessness,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
10,__010,dictionally,diction|al|ly,di|ction|ally,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
11,__010,discerningly,discern|ing|ly,disc|ern|ingly,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
12,__010,dolefully,dole|ful|ly,do|le|fully,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
13,__010,enneagonal,ennea|gon|al,en|nea|gonal,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
14,__010,exultingly,exult|ing|ly,ex|ult|ingly,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
15,__010,fanatically,fanatic|al|ly,fan|atic|ally,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
16,__010,florigenic,flori|gen|ic,fl|ori|genic,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
17,__010,freeman's,free|man|'s,freeman|'|s,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
18,__010,heptameric,hepta|mer|ic,he|pta|meric,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
19,__010,hyletics,hyle|t|ics,h|yle|tics,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
20,__010,ideographic,ideo|graph|ic,id|eo|graphic,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
21,__010,neurochemical,neuro|chemic|al,ne|uro|chemical,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
22,__010,newsaholic,new|s|aholic,news|ah|olic,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
23,__010,oarlessness,oar|less|ness,o|ar|lessness,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
24,__010,plucklessness,pluck|less|ness,pl|uck|lessness,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
25,__010,quenchlessly,quench|less|ly,que|nch|lessly,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
26,__010,regressively,regress|ive|ly,reg|ress|ively,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
27,__010,reinthrone,re|in|throne,rein|th|rone,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
28,__010,savorously,savor|ous|ly,sa|vor|ously,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
29,__010,scatterometer,scatter|o|meter,sc|atter|ometer,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
30,__010,stoically,stoic|al|ly,st|oic|ally,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
31,__010,tachyonic,tachy|on|ic,ta|chy|onic,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
32,__010,tactlessly,tact|less|ly,ta|ct|lessly,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
33,__010,taintlessness,taint|less|ness,tai|nt|lessness,2,0,3,3,1,1,1,0.0,0.5,0.5,f1_diff
