microergodic	micro @@erg @@ode	010
soothsaid	soothsay @@ed	100
hafnon	hafnium @@zircon	001
weskot	waist @@coat	001
nephritic	nephro @@itis	010
down-gyved	down @@gyve	001
dilbit	diluted @@bitumen	001
chessel	cheese @@lip	001
hussif	house @@wife	001
hypopnœa	hypo @@pnea	010
ceftiofur	cef @@thio @@furfural @@an	010
bradypnoea	brady @@pnea	010
kindle-coal	kindle @@fire	001
farnesene	farnesol @@ine	001
tivirapine	thi @@vir @@di @@azepine	010
nutpick	nut @@picknutpick	001
chad	ch @@have @@ed	110
outbye	out @@by	001
nuncheon	noon @@shink	001
looksmaxx	looks @@max	001
backgain	back @@gangingbackgain	001
prochlorperazine	prop @@chlor @@piperazine	010
straightway	straight @@waystraightway	001
wantoe	wame @@tow	001
cefixime	cef @@i @@oxime	010
headshrink	head @@shrinkheadshrink	001
antinephritic	anti @@nephro @@itis	010
cefsulodin	cef @@sulfo @@pyridine @@ium	010
whilend	while @@wend @@ing	011
foreanent	fore @@anentforeanent	001
tiffany	theo @@phany	010
picramic	picric @@amino	001
foresaid	fore @@say @@ed	110
perinephritic	peri @@nephro @@itis	010
dovecot	dove @@cote	001
beefhead	beef @@headbeefhead	001
mandraulic	manual @@hydraulic	001
nymphophile	nympho @@philiac	010
scotchgard	Scotch @@guard	001
beeregar	be @@er @@eager	011
dekstros	dextro @@ose	010
thiouracil	thio @@uro @@acetic @@ile	010
ergodic	erg @@ode	010
novelcraft	novel @@craftnovelcraft	001
dutertard	Duterte @@retard	001
lack-mind	lack @@sense	001
wanty	womb @@tiewanty	001
cheeselep	cheese @@lib	001
aforesaid	afore @@say @@ed	110
swimway	swim @@wayswimway	001
sinocentrism	Sino @@prefix	010
underage	under @@ageunderage	001
transpirometer	transpire @@o @@metry	010
agnw	Ag @@nano @@wire	011
wittol	wit @@cuckold	001
hypalbuminemia	hyp @@albumin @@aemia	010
airgasm	air @@orgasm	001
dipyridil	di @@pyridine @@yl	010
videotex	video @@text	001
whitsun	white @@Sunday	001
protologism	πρῶτος @@λόγος	001
pentel	pen @@tell	001
siteswap	site @@swop	001
firebell	fire @@bellfirebell	001
hyperdontia	hyper @@odontia	010
selak	shell @@lac	001
hodophobic	hodo @@prefix	010
bulimarexia	bulimia @@anorexia	001
seedstalk	see @@d @@stalkseedstalk	011
shamefaced	shame @@fast	001
longhorned	long @@horn	001
anderson	Andrew @@s @@ton	010
spignel	spike @@nail	001
bitsquatting	bit @@typosquatting	001
thumbsbreadth	[[thumb]]'s @@[[breadth]]	001
besaid	be @@say @@ed	110
promethazine	prop @@meth @@pheno @@thiazine	010
gunnel	gun @@wale	001
trichlorophenol	trichloro @@phenyl	001
southsaid	southsay @@ed	100
salazosulfadimidine	salazo @@sulfa @@dimethylpyrimidine	010
pillowbeer	pillow @@bear	001
klankraft	Klan @@craft	001
fairbanks	fair @@bank	001
shipwreck	ship @@wrack	001
allenarly	all @@anerly	001
babygro	babe @@y @@grow	011
thyrotrophic	thyro @@tropic	010
tetrodotoxin	tetra @@ode	010
hodgepodge	hotch @@pot	001
resaid	re @@say @@ed	110
balkanophobia	Balkano @@phobic	010
airbnb	air @@B&amp;B	001
neighbour	nigh @@bow @@er	011
yogibogeybox	yogi @@bogey	001
vegaroni	vegan @@pepperoni	001
gallybagger	gall @@y @@baggar	011
hyetogram	hyeto @@graph	010
voicepipe	voice @@pipevoicepipe	001
archæophyte	archæo @@archaeo @@en	010
looky-loo	look @@lew	001
shaftment	shaft @@mound	001
oversaid	over @@say @@ed	110
trichiliocosm	tri @@chilia @@cosmos	010
bolunturismo	voluntary @@eer @@tour @@ism	011
withal	with @@all	001
someways	some @@way	001
archeophyte	archeo @@archaeo @@en	010
cefminox	cef @@amino @@carboxylic acid	010
icicle	ice @@ickle	001
warload	war @@payload	001
trunkback	trunk @@bank	001
gliclazide	gli @@cycl @@hydrazide	010
whitret	white @@rat	001
missaid	mis @@say @@ed	110
drumdried	drum @@drieddrumdried	001
harkee	hear @@k @@'ee	011
nonergodic	non @@erg @@ode	010
atheophobia	atheo @@a @@en	010
safecracking	safe @@crackingsafecracking	001
hexylene	hex @@ethyl @@ene @@yl	010
oximeter	oxi @@oxy @@en	010
dihydrouracil	dihydro @@uro @@acetic @@ile	010
philautia	phil @@auto	001
uracil	uro @@acetic @@ile	010
againsaid	again @@say @@ed	110
leeftail	lief @@tell	001
psychocentric	psycho @@prefix	010
template:affix/documentation	pest @@i @@cide	010
boydem	boy @@them	001
magbote	mæg @@bot	001
cefozopran	cef @@o @@imidazopyridazine	010
iodouracil	iodo @@uro @@acetic @@ile	010
desethylamiodarone	des @@methyl @@amino @@iod @@coumarone	011
isopromethazine	iso @@prop @@meth @@pheno @@thiazine	010
strathcona	srath @@Coe	001
cwt.	centum @@weigh @@t	011
norgestrel	nor @@gestr @@ethyl	010
andragogy	andro @@pedagogy	001
hotcockles	hot @@cockle	001
branton	broom @@down	001
coenenchym	coen @@enchyma	010
iopromide	io @@prop @@ane @@yl @@amide	010
frump	for @@rump @@le	010
coprostatis	copro @@stasis	010
old-farrant	old @@fare @@and	011
eupnoea	eu @@pnea	010
methylenedioxy	di @@oxy @@methylene	010
sun-darts	sun @@dart	001
walkie-talkie	walk @@ing @@talk @@ing	011
prenephritic	pre @@nephro @@itis	010
aesthesiological	aesthesio @@ology	010
gliflumide	gli @@fluoro @@sulfonamide	010
deoxyuracil	deoxy @@uro @@acetic @@ile	010
osteocope	osteo @@scope	010
