,category,word,segmentation,prediction,distance,f1v2_tp,f1v2_fp,f1v2_fn,f1v3_tp,f1v3_fp,f1v3_fn,f1v2_score,f1v3_score,abs_diff,diff
0,__000,Islāmic,islāmic,islamic,1,0,1,1,1,0,0,0.0,1.0,1.0,diff_f1
1,__000,Pará,pará,para,1,0,1,1,1,0,0,0.0,1.0,1.0,diff_f1
2,__000,Renée,renée,renee,1,0,1,1,1,0,0,0.0,1.0,1.0,diff_f1
3,__000,Württemberg,württemberg,wurttemberg,1,0,1,1,1,0,0,0.0,1.0,1.0,diff_f1
4,__000,coupé,coupé,coupe,1,0,1,1,1,0,0,0.0,1.0,1.0,diff_f1
5,__000,débris,débris,debris,1,0,1,1,1,0,0,0.0,1.0,1.0,diff_f1
6,__000,dérive,dérive,derive,1,0,1,1,1,0,0,0.0,1.0,1.0,diff_f1
7,__000,exposé,exposé,expose,1,0,1,1,1,0,0,0.0,1.0,1.0,diff_f1
8,__000,fiancée,fiancée,fiancee,1,0,1,1,1,0,0,0.0,1.0,1.0,diff_f1
9,__000,élite,élite,elite,1,0,1,1,1,0,0,0.0,1.0,1.0,diff_f1
10,__001,NPPV,niv|ppv,np|p|v,3,0,3,2,1,1,0,0.0,0.667,0.667,diff_f1
11,__001,Stenhouse,stone|house,ste|nh|ouse,4,0,3,2,1,1,0,0.0,0.667,0.667,diff_f1
12,__001,whencever,whence|ever,when|ce|ver,2,0,3,2,1,1,0,0.0,0.667,0.667,diff_f1
13,__001,Byrdstown,byrd|town,byrd|stown,1,1,1,1,1,0,0,0.5,1.0,0.5,diff_f1
14,__001,Chieh-yang,chieh|yang,chi|eh|yang,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
15,__001,Christcross-row,christcross|row,christ|cross|row,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
16,__001,Coele-Syria,coele|syria,coe|le|syria,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
17,__001,Duna-gate,duna|gate,dun|a|gate,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
18,__001,Gaia-Sausage,gaia|sausage,ga|ia|sausage,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
19,__001,Hsin-chu,hsin|chu,hs|in|chu,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
20,__001,Hsüan-wu,hsüan|wu,hs|uan|wu,4,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
21,__001,Kuan-shan,kuan|shan,ku|an|shan,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
22,__001,Kuang-tung,kuang|tung,ku|ang|tung,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
23,__001,Luso-Hispanic,luso|hispanic,lu|so|hispanic,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
24,__001,Nether-Saxon,nether|saxon,net|her|saxon,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
25,__001,Tele-snap,tele|snap,tel|e|snap,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
26,__001,Yugo-nostalgia,yugo|nostalgia,yu|go|nostalgia,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
27,__001,actino-uranium,actino|uranium,act|ino|uranium,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
28,__001,alms-fee,alms|fee,al|ms|fee,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
29,__001,ampere-hour,ampere|hour,amp|ere|hour,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
30,__001,bandog,band|dog,band|og,1,1,1,1,1,0,0,0.5,1.0,0.5,diff_f1
31,__001,biscuitroot,biscuit|root,bis|cuit|ro|ot,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
32,__001,bromoacyl,bromo|acyl,bro|mo|acy|l,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
33,__001,cation-π,cation|π,cat|ion|Ï€,5,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
34,__001,clambake,clam|bake,cl|am|ba|ke,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
35,__001,crampbark,cramp|bark,cr|amp|bar|k,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
36,__001,cuntbreath,cunt|breath,cu|nt|bre|ath,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
37,__001,ethylaniline,ethyl|aniline,et|hyl|ani|line,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
38,__001,fallowchat,fallow|chat,fall|ow|cha|t,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
39,__001,fallowfinch,fallow|finch,fall|ow|fin|ch,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
40,__001,fopdoodle,fop|doodle,f|op|do|odle,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
41,__001,forceps-like,forceps|like,force|ps|like,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
42,__001,grubstake,grub|stake,gr|ub|sta|ke,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
43,__001,gurry-butt,gurry|butt,gu|rry|butt,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
44,__001,idempotent,idem|potent,id|em|pot|ent,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
45,__001,iminoether,imino|ether,im|ino|eth|er,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
46,__001,jac-shirt,jac|shirt,ja|c|shirt,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
47,__001,jook-sing,jook|sing,joo|k|sing,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
48,__001,larderhoard,larder|hoard,la|rder|ho|ard,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
49,__001,lingling-o,lingling|o,ling|ling|o,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
50,__001,linguo-nasal,linguo|nasal,ling|uo|nasal,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
51,__001,loiter-sack,loiter|sack,lo|iter|sack,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
52,__001,maki-e,maki|e,ma|ki|e,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
53,__001,ogle-in,ogle|in,og|le|in,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
54,__001,pauci-immune,pauci|immune,pau|ci|immune,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
55,__001,peltmonger,pelt|monger,pe|lt|mon|ger,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
56,__001,regie-book,regie|book,reg|ie|book,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
57,__001,rumourmonger,rumour|monger,rum|our|mon|ger,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
58,__001,scamcoin,scam|coin,sc|am|co|in,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
59,__001,scape-animal,scape|animal,sc|ape|animal,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
60,__001,scarehead,scare|headline,scare|head,4,1,1,1,1,0,0,0.5,1.0,0.5,diff_f1
61,__001,scatterplot,scatter|plot,sc|atter|pl|ot,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
62,__001,sexuo-economic,sexuo|economic,sex|uo|economic,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
63,__001,smutfic,smut|fic,sm|ut|fi|c,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
64,__001,snare-picture,snare|picture,s|nare|picture,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
65,__001,spurgewort,spurge|wort,spur|ge|wo|rt,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
66,__001,swill-pot,swill|pot,sw|ill|pot,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
67,__001,swillbelly,swill|belly,sw|ill|bell|y,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
68,__001,swinepox,swine|pox,sw|ine|po|x,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
69,__001,titwank,tit|wank,ti|t|wan|k,2,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
70,__001,tou-tu,tou|tu,to|u|tu,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
71,__001,walke-street,walke|street,walk|e|street,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
72,__001,winkle-hawk,winkle|hawk,wink|le|hawk,3,0,4,2,1,2,0,0.0,0.5,0.5,diff_f1
73,__001,Altamaha-ha,altamaha|ha,alta|mah|a|ha,4,0,5,2,1,3,0,0.0,0.4,0.4,diff_f1
74,__001,Ch'eng-te,ch'eng|te,ch|'|eng|te,4,0,5,2,1,3,0,0.0,0.4,0.4,diff_f1
75,__001,Ch'i-men,ch'i|men,ch|'|i|men,4,0,5,2,1,3,0,0.0,0.4,0.4,diff_f1
76,__001,Duk-Duk,duk|duk,du|k|du|k,4,0,5,2,1,3,0,0.0,0.4,0.4,diff_f1
77,__001,Gabi-Gabi,gabi|gabi,ga|bi|ga|bi,4,0,5,2,1,3,0,0.0,0.4,0.4,diff_f1
78,__001,P'u-tung,p'u|tung,p|'|u|tung,4,0,5,2,1,3,0,0.0,0.4,0.4,diff_f1
79,__001,Wemba-Wemba,wemba|wemba,we|mba|we|mba,4,0,5,2,1,3,0,0.0,0.4,0.4,diff_f1
