,category,word,segmentation,prediction,distance,f1v2_tp,f1v2_fp,f1v2_fn,f1v3_tp,f1v3_fp,f1v3_fn,f1v2_score,f1v1_score,abs_diff,diff
0,__010,erter,ert|er,er|ter,2,0,2,2,1,1,1,0.0,0.5,0.5,f1_diff
1,__010,agraphia,a|graphia,agra|phi|a,3,0,3,2,1,2,1,0.0,0.4,0.4,f1_diff
2,__010,recongregate,re|congregate,rec|ong|re|gate,4,0,4,2,1,3,1,0.0,0.333,0.333,f1_diff
3,__010,ootidogenesis,ootid|o|genesis,o|ot|ido|genesis,3,1,3,2,2,2,1,0.286,0.571,0.286,f1_diff
4,__010,pericratonic,peri|craton|ic,per|ic|rat|onic,5,0,4,3,1,3,2,0.0,0.286,0.286,f1_diff
5,__010,codiscovery,co|dis|cover|y,cod|is|co|very,4,0,4,4,1,3,3,0.0,0.25,0.25,f1_diff
6,__010,unlyrically,un|lyric|al|ly,un|ly|rica|lly,4,1,3,3,2,2,2,0.25,0.5,0.25,f1_diff
7,__100,edutained,edutain|ed,ed|uta|ined,3,0,3,2,1,2,1,0.0,0.4,0.4,f1_diff
8,__100,posnets,posnet|s,po|s|nets,3,0,3,2,1,2,1,0.0,0.4,0.4,f1_diff
9,__100,snafus,snafu|s,s|na|fus,3,0,3,2,1,2,1,0.0,0.4,0.4,f1_diff
10,__100,snakins,snakin|s,s|na|kins,3,0,3,2,1,2,1,0.0,0.4,0.4,f1_diff
11,__100,snasts,snast|s,s|nas|ts,3,0,3,2,1,2,1,0.0,0.4,0.4,f1_diff
12,__100,snoggles,snoggle|s,s|no|ggles,3,0,3,2,1,2,1,0.0,0.4,0.4,f1_diff
13,__100,snugs,snug|s,s|nu|gs,3,0,3,2,1,2,1,0.0,0.4,0.4,f1_diff
14,__100,snyes,snye|s,s|ny|es,3,0,3,2,1,2,1,0.0,0.4,0.4,f1_diff
15,__100,aasvoels,aasvoel|s,aa|s|vo|els,4,0,4,2,1,3,1,0.0,0.333,0.333,f1_diff
16,__100,ingulphing,ingulph|ing,ing|ul|phi|ng,4,0,4,2,1,3,1,0.0,0.333,0.333,f1_diff
17,__100,parsnips,parsnip|s,par|s|ni|ps,4,0,4,2,1,3,1,0.0,0.333,0.333,f1_diff
18,__100,snifters,snifter|s,s|ni|ft|ers,4,0,4,2,1,3,1,0.0,0.333,0.333,f1_diff
19,__100,snippacks,snippack|s,s|ni|ppa|cks,4,0,4,2,1,3,1,0.0,0.333,0.333,f1_diff
20,__100,snoozes,snooze|s,s|no|oz|es,4,0,4,2,1,3,1,0.0,0.333,0.333,f1_diff
21,__100,snorefests,snorefest|s,s|nor|efe|sts,4,0,4,2,1,3,1,0.0,0.333,0.333,f1_diff
22,__110,hyperedited,hyper|edit|ed,hyper|ed|ited,2,1,2,2,2,1,1,0.333,0.667,0.333,f1_diff
23,__110,disvirgins,dis|virgin|s,di|s|vir|gins,3,0,4,3,1,3,2,0.0,0.286,0.286,f1_diff
24,__110,recorrected,re|correct|ed,rec|or|re|cted,5,0,4,3,1,3,2,0.0,0.286,0.286,f1_diff
25,__110,recorrecting,re|correct|ing,rec|or|re|cting,5,0,4,3,1,3,2,0.0,0.286,0.286,f1_diff
26,__110,snitchers,snitch|er|s,s|ni|tch|ers,3,0,4,3,1,3,2,0.0,0.286,0.286,f1_diff
27,__110,snuffees,snuff|ee|s,s|nu|ffe|es,5,0,4,3,1,3,2,0.0,0.286,0.286,f1_diff
28,__110,oligodiols,oligo|di|ol|s,ol|igo|dio|ls,4,0,4,4,1,3,3,0.0,0.25,0.25,f1_diff
29,__110,photointerpreters,photo|interpret|er|s,photo|int|er|pre|ters,5,1,4,3,2,3,2,0.222,0.444,0.222,f1_diff
30,__110,sesquioctaves,sesqui|octave|s,se|s|qui|oc|ta|ves,5,0,6,3,1,5,2,0.0,0.222,0.222,f1_diff
31,__110,sesquilingualisms,sesqui|lingual|ism|s,se|s|quil|ing|ual|isms,6,0,6,4,1,5,3,0.0,0.2,0.2,f1_diff
