,category,word,segmentation,prediction,distance,overlaps,f1v2_tp,f1v2_fp,f1v2_fn,f1v3_tp,f1v3_fp,f1v3_fn
0,_000,$DEITY,$deity,$ deity,1,0,0,2,1,0,1,1
1,_000,'Arry,'arry,' ar @@ry,2,0,0,3,1,0,2,1
2,_000,'hood,'hood,' hood,1,0,0,2,1,0,1,1
3,_000,'igh,'igh,' i @@gh,2,0,0,3,1,0,2,1
4,_000,'mater,'mater,' mater,1,0,0,2,1,0,1,1
5,_000,'scuse,'scuse,' sc @@use,2,0,0,3,1,0,2,1
6,_000,'tute,'tute,' tu @@te,2,0,0,3,1,0,2,1
7,_000,'verse,'verse,' verse,1,0,0,2,1,0,1,1
8,_000,1620,1620,1620,0,1,1,0,0,1,0,0
9,_000,26.2,26.2,26 . 2,2,0,0,3,1,0,2,1
10,_000,360,360,360,0,1,1,0,0,1,0,0
11,_000,420,420,420,0,1,1,0,0,1,0,0
12,_000,4GL,4gl,4 @@gl,1,0,0,2,1,0,1,1
13,_000,4to,4to,4 @@to,1,0,0,2,1,0,1,1
14,_000,6in4,6in4,6 @@in @@4,2,0,0,3,1,0,2,1
15,_000,ABAKO,abako,aba @@ko,1,0,0,2,1,0,1,1
16,_000,APEX,apex,apex,0,1,1,0,0,1,0,0
17,_000,APIX,apix,api @@x,1,0,0,2,1,0,1,1
18,_000,ASMR,asmr,as @@m @@r,2,0,0,3,1,0,2,1
19,_000,ATWT,atwt,at @@wt,1,0,0,2,1,0,1,1
20,_000,Aar,aar,aa @@r,1,0,0,2,1,0,1,1
21,_000,Aban,aban,aba @@n,1,0,0,2,1,0,1,1
22,_000,Abbeystead,abbeystead,abbey @@stead,1,0,0,2,1,0,1,1
23,_000,Abbigail,abbigail,ab @@bi @@gai @@l,3,0,0,4,1,0,3,1
24,_000,Abdallah,abdallah,abd @@alla @@h,2,0,0,3,1,0,2,1
25,_000,Abdals,abdals,abd @@als,1,0,0,2,1,0,1,1
26,_000,Abdunnasir,abdunnasir,abd @@un @@nas @@ir,3,0,0,4,1,0,3,1
27,_000,Aberbran,aberbran,abe @@rb @@ran,2,0,0,3,1,0,2,1
28,_000,Aberffrwd,aberffrwd,abe @@rf @@fr @@wd,3,0,0,4,1,0,3,1
29,_000,Aberporth,aberporth,abe @@rp @@orth,2,0,0,3,1,0,2,1
30,_000,Abigale,abigale,ab @@iga @@le,2,0,0,3,1,0,2,1
31,_000,Abiquiú,abiquiú,ab @@iq @@ui @@u,4,0,0,4,1,0,3,1
32,_000,Abrahan,abrahan,ab @@rah @@an,2,0,0,3,1,0,2,1
33,_000,Abushanab,abushanab,abu @@shan @@ab,2,0,0,3,1,0,2,1
34,_000,Abydos,abydos,ab @@yd @@os,2,0,0,3,1,0,2,1
35,_000,Academy,academy,academy,0,1,1,0,0,1,0,0
36,_000,Accompong,accompong,acc @@omp @@ong,2,0,0,3,1,0,2,1
37,_000,Accra,accra,acc @@ra,1,0,0,2,1,0,1,1
38,_000,Aceso,aceso,aces @@o,1,0,0,2,1,0,1,1
39,_000,Achates,achates,ac @@hat @@es,2,0,0,3,1,0,2,1
40,_000,Acierno,acierno,ac @@ier @@no,2,0,0,3,1,0,2,1
41,_000,Acoma,acoma,ac @@oma,1,0,0,2,1,0,1,1
42,_000,Acri,acri,ac @@ri,1,0,0,2,1,0,1,1
43,_000,Acteon,acteon,act @@eon,1,0,0,2,1,0,1,1
44,_000,Adamnan,adamnan,adam @@nan,1,0,0,2,1,0,1,1
45,_000,Addams,addams,add @@ams,1,0,0,2,1,0,1,1
46,_000,Addey,addey,add @@ey,1,0,0,2,1,0,1,1
47,_000,Addington,addington,adding @@ton,1,0,0,2,1,0,1,1
48,_000,Adele,adele,adele,0,1,1,0,0,1,0,0
49,_000,Aditya,aditya,adi @@tya,1,0,0,2,1,0,1,1
50,_000,Adkin,adkin,ad @@kin,1,0,0,2,1,0,1,1
51,_000,Adlington,adlington,ad @@lington,1,0,0,2,1,0,1,1
52,_000,Adriannah,adriannah,adrian @@nah,1,0,0,2,1,0,1,1
53,_000,Adrianopolitan,adrianopolitan,adrian @@op @@oli @@tan,3,0,0,4,1,0,3,1
54,_000,Adriatic,adriatic,adriatic,0,1,1,0,0,1,0,0
55,_000,Aegen,aegen,ae @@gen,1,0,0,2,1,0,1,1
56,_000,Aeniania,aeniania,ae @@nian @@ia,2,0,0,3,1,0,2,1
57,_000,Aepyornis,aepyornis,ae @@py @@orn @@is,3,0,0,4,1,0,3,1
